#PSTAR: Stopping Powers and Range Tables for Protons

HYDROGEN                                                                

Kinetic   Electron. 
Energy    Stp. Pow. 
MeV       MeV cm*cm/g 
#
1.000E-03 7.465E+02 
1.500E-03 9.143E+02 
2.000E-03 1.056E+03 
2.500E-03 1.180E+03 
3.000E-03 1.293E+03 
4.000E-03 1.493E+03 
5.000E-03 1.669E+03 
6.000E-03 1.829E+03 
7.000E-03 1.975E+03 
8.000E-03 2.112E+03 
9.000E-03 2.240E+03 
1.000E-02 2.361E+03 
1.250E-02 2.586E+03 
1.500E-02 2.777E+03 
1.750E-02 2.942E+03 
2.000E-02 3.084E+03 
2.250E-02 3.208E+03 
2.500E-02 3.316E+03 
2.750E-02 3.409E+03 
3.000E-02 3.490E+03 
3.500E-02 3.618E+03 
4.000E-02 3.710E+03 
4.500E-02 3.771E+03 
5.000E-02 3.808E+03 
5.500E-02 3.823E+03 
6.000E-02 3.822E+03 
6.500E-02 3.807E+03 
7.000E-02 3.781E+03 
7.500E-02 3.745E+03 
8.000E-02 3.702E+03 
8.500E-02 3.654E+03 
9.000E-02 3.601E+03 
9.500E-02 3.545E+03 
1.000E-01 3.487E+03 
1.250E-01 3.183E+03 
1.500E-01 2.890E+03 
1.750E-01 2.629E+03 
2.000E-01 2.402E+03 
2.250E-01 2.204E+03 
2.500E-01 2.031E+03 
2.750E-01 1.882E+03 
3.000E-01 1.753E+03 
3.500E-01 1.544E+03 
4.000E-01 1.384E+03 
4.500E-01 1.258E+03 
5.000E-01 1.159E+03 
5.500E-01 1.077E+03 
6.000E-01 1.007E+03 
6.500E-01 9.470E+02 
7.000E-01 8.942E+02 
7.500E-01 8.475E+02 
8.000E-01 8.059E+02 
8.500E-01 7.686E+02 
9.000E-01 7.349E+02 
9.500E-01 7.043E+02 
1.000E+00 6.764E+02 
1.250E+00 5.667E+02 
1.500E+00 4.897E+02 
1.750E+00 4.325E+02 
2.000E+00 3.881E+02 
2.250E+00 3.526E+02 
2.500E+00 3.235E+02 
2.750E+00 2.992E+02 
3.000E+00 2.785E+02 
3.500E+00 2.452E+02 
4.000E+00 2.195E+02 
4.500E+00 1.991E+02 
5.000E+00 1.823E+02 
5.500E+00 1.684E+02 
6.000E+00 1.565E+02 
6.500E+00 1.464E+02 
7.000E+00 1.375E+02 
7.500E+00 1.298E+02 
8.000E+00 1.229E+02 
8.500E+00 1.168E+02 
9.000E+00 1.113E+02 
9.500E+00 1.064E+02 
1.000E+01 1.019E+02 
1.250E+01 8.437E+01 
1.500E+01 7.233E+01 
1.750E+01 6.351E+01 
2.000E+01 5.675E+01 
2.500E+01 4.704E+01 
2.750E+01 4.343E+01 
3.000E+01 4.038E+01 
3.500E+01 3.551E+01 
4.000E+01 3.179E+01 
4.500E+01 2.885E+01 
5.000E+01 2.647E+01 
5.500E+01 2.450E+01 
6.000E+01 2.284E+01 
6.500E+01 2.141E+01 
7.000E+01 2.019E+01 
7.500E+01 1.911E+01 
8.000E+01 1.817E+01 
8.500E+01 1.733E+01 
9.000E+01 1.658E+01 
9.500E+01 1.590E+01 
1.000E+02 1.529E+01 
1.250E+02 1.294E+01 
1.500E+02 1.135E+01 
1.750E+02 1.020E+01 
2.000E+02 9.323E+00 
2.250E+02 8.640E+00 
2.500E+02 8.092E+00 
2.750E+02 7.642E+00 
3.000E+02 7.266E+00 
3.500E+02 6.676E+00 
4.000E+02 6.236E+00 
4.500E+02 5.895E+00 
5.000E+02 5.625E+00 
5.500E+02 5.407E+00 
6.000E+02 5.228E+00 
6.500E+02 5.079E+00 
7.000E+02 4.954E+00 
7.500E+02 4.847E+00 
8.000E+02 4.755E+00 
8.500E+02 4.676E+00 
9.000E+02 4.608E+00 
9.500E+02 4.548E+00 
1.000E+03 4.496E+00 
1.500E+03 4.212E+00 
2.000E+03 4.125E+00 
2.500E+03 4.106E+00 
3.000E+03 4.117E+00 
4.000E+03 4.172E+00 
5.000E+03 4.240E+00 
6.000E+03 4.307E+00 
7.000E+03 4.371E+00 
8.000E+03 4.431E+00 
9.000E+03 4.487E+00 
1.000E+04 4.539E+00 
