#PSTAR: Stopping Powers and Range Tables for Protons

NEON                                                                    

Kinetic   Electron. 
Energy    Stp. Pow. 
MeV       MeV cm*cm/g 
#
1.000E-03 5.801E+01 
1.500E-03 7.105E+01 
2.000E-03 8.204E+01 
2.500E-03 9.173E+01 
3.000E-03 1.005E+02 
4.000E-03 1.160E+02 
5.000E-03 1.297E+02 
6.000E-03 1.421E+02 
7.000E-03 1.535E+02 
8.000E-03 1.641E+02 
9.000E-03 1.740E+02 
1.000E-02 1.835E+02 
1.250E-02 2.025E+02 
1.500E-02 2.193E+02 
1.750E-02 2.345E+02 
2.000E-02 2.483E+02 
2.250E-02 2.610E+02 
2.500E-02 2.728E+02 
2.750E-02 2.838E+02 
3.000E-02 2.940E+02 
3.500E-02 3.127E+02 
4.000E-02 3.292E+02 
4.500E-02 3.438E+02 
5.000E-02 3.569E+02 
5.500E-02 3.686E+02 
6.000E-02 3.790E+02 
6.500E-02 3.883E+02 
7.000E-02 3.965E+02 
7.500E-02 4.038E+02 
8.000E-02 4.102E+02 
8.500E-02 4.158E+02 
9.000E-02 4.207E+02 
9.500E-02 4.248E+02 
1.000E-01 4.284E+02 
1.250E-01 4.381E+02 
1.500E-01 4.379E+02 
1.750E-01 4.313E+02 
2.000E-01 4.208E+02 
2.250E-01 4.082E+02 
2.500E-01 3.946E+02 
2.750E-01 3.807E+02 
3.000E-01 3.671E+02 
3.500E-01 3.390E+02 
4.000E-01 3.138E+02 
4.500E-01 2.933E+02 
5.000E-01 2.772E+02 
5.500E-01 2.643E+02 
6.000E-01 2.526E+02 
6.500E-01 2.419E+02 
7.000E-01 2.322E+02 
7.500E-01 2.232E+02 
8.000E-01 2.150E+02 
8.500E-01 2.074E+02 
9.000E-01 2.004E+02 
9.500E-01 1.938E+02 
1.000E+00 1.877E+02 
1.250E+00 1.630E+02 
1.500E+00 1.446E+02 
1.750E+00 1.303E+02 
2.000E+00 1.189E+02 
2.250E+00 1.096E+02 
2.500E+00 1.018E+02 
2.750E+00 9.509E+01 
3.000E+00 8.935E+01 
3.500E+00 7.993E+01 
4.000E+00 7.250E+01 
4.500E+00 6.646E+01 
5.000E+00 6.145E+01 
5.500E+00 5.722E+01 
6.000E+00 5.359E+01 
6.500E+00 5.043E+01 
7.000E+00 4.767E+01 
7.500E+00 4.522E+01 
8.000E+00 4.304E+01 
8.500E+00 4.107E+01 
9.000E+00 3.930E+01 
9.500E+00 3.769E+01 
1.000E+01 3.622E+01 
1.250E+01 3.042E+01 
1.500E+01 2.636E+01 
1.750E+01 2.333E+01 
2.000E+01 2.099E+01 
2.500E+01 1.758E+01 
2.750E+01 1.630E+01 
3.000E+01 1.521E+01 
3.500E+01 1.346E+01 
4.000E+01 1.212E+01 
4.500E+01 1.104E+01 
5.000E+01 1.017E+01 
5.500E+01 9.442E+00 
6.000E+01 8.827E+00 
6.500E+01 8.299E+00 
7.000E+01 7.841E+00 
7.500E+01 7.440E+00 
8.000E+01 7.086E+00 
8.500E+01 6.771E+00 
9.000E+01 6.488E+00 
9.500E+01 6.233E+00 
1.000E+02 6.002E+00 
1.250E+02 5.110E+00 
1.500E+02 4.501E+00 
1.750E+02 4.058E+00 
2.000E+02 3.722E+00 
2.250E+02 3.458E+00 
2.500E+02 3.246E+00 
2.750E+02 3.072E+00 
3.000E+02 2.926E+00 
3.500E+02 2.697E+00 
4.000E+02 2.526E+00 
4.500E+02 2.393E+00 
5.000E+02 2.289E+00 
5.500E+02 2.204E+00 
6.000E+02 2.135E+00 
6.500E+02 2.077E+00 
7.000E+02 2.029E+00 
7.500E+02 1.988E+00 
8.000E+02 1.953E+00 
8.500E+02 1.923E+00 
9.000E+02 1.897E+00 
9.500E+02 1.874E+00 
1.000E+03 1.855E+00 
1.500E+03 1.753E+00 
2.000E+03 1.727E+00 
2.500E+03 1.728E+00 
3.000E+03 1.739E+00 
4.000E+03 1.773E+00 
5.000E+03 1.811E+00 
6.000E+03 1.847E+00 
7.000E+03 1.880E+00 
8.000E+03 1.911E+00 
9.000E+03 1.939E+00 
1.000E+04 1.965E+00 
