#PSTAR: Stopping Powers and Range Tables for Protons

KRYPTON                                                                 

Kinetic   Electron. 
Energy    Stp. Pow. 
MeV       MeV cm*cm/g 
#
1.000E-03 4.592E+01 
1.500E-03 5.624E+01 
2.000E-03 6.494E+01 
2.500E-03 7.260E+01 
3.000E-03 7.953E+01 
4.000E-03 9.184E+01 
5.000E-03 1.027E+02 
6.000E-03 1.125E+02 
7.000E-03 1.215E+02 
8.000E-03 1.299E+02 
9.000E-03 1.378E+02 
1.000E-02 1.452E+02 
1.250E-02 1.601E+02 
1.500E-02 1.732E+02 
1.750E-02 1.849E+02 
2.000E-02 1.955E+02 
2.250E-02 2.051E+02 
2.500E-02 2.138E+02 
2.750E-02 2.218E+02 
3.000E-02 2.291E+02 
3.500E-02 2.420E+02 
4.000E-02 2.527E+02 
4.500E-02 2.616E+02 
5.000E-02 2.688E+02 
5.500E-02 2.746E+02 
6.000E-02 2.790E+02 
6.500E-02 2.823E+02 
7.000E-02 2.845E+02 
7.500E-02 2.858E+02 
8.000E-02 2.862E+02 
8.500E-02 2.860E+02 
9.000E-02 2.851E+02 
9.500E-02 2.838E+02 
1.000E-01 2.819E+02 
1.250E-01 2.686E+02 
1.500E-01 2.522E+02 
1.750E-01 2.362E+02 
2.000E-01 2.217E+02 
2.250E-01 2.090E+02 
2.500E-01 1.982E+02 
2.750E-01 1.889E+02 
3.000E-01 1.809E+02 
3.500E-01 1.681E+02 
4.000E-01 1.581E+02 
4.500E-01 1.502E+02 
5.000E-01 1.437E+02 
5.500E-01 1.381E+02 
6.000E-01 1.332E+02 
6.500E-01 1.288E+02 
7.000E-01 1.248E+02 
7.500E-01 1.212E+02 
8.000E-01 1.178E+02 
8.500E-01 1.146E+02 
9.000E-01 1.116E+02 
9.500E-01 1.088E+02 
1.000E+00 1.061E+02 
1.250E+00 9.463E+01 
1.500E+00 8.543E+01 
1.750E+00 7.791E+01 
2.000E+00 7.184E+01 
2.250E+00 6.689E+01 
2.500E+00 6.269E+01 
2.750E+00 5.913E+01 
3.000E+00 5.601E+01 
3.500E+00 5.073E+01 
4.000E+00 4.648E+01 
4.500E+00 4.301E+01 
5.000E+00 4.007E+01 
5.500E+00 3.758E+01 
6.000E+00 3.541E+01 
6.500E+00 3.351E+01 
7.000E+00 3.184E+01 
7.500E+00 3.034E+01 
8.000E+00 2.900E+01 
8.500E+00 2.778E+01 
9.000E+00 2.668E+01 
9.500E+00 2.567E+01 
1.000E+01 2.475E+01 
1.250E+01 2.106E+01 
1.500E+01 1.843E+01 
1.750E+01 1.645E+01 
2.000E+01 1.489E+01 
2.500E+01 1.260E+01 
2.750E+01 1.172E+01 
3.000E+01 1.098E+01 
3.500E+01 9.776E+00 
4.000E+01 8.840E+00 
4.500E+01 8.090E+00 
5.000E+01 7.475E+00 
5.500E+01 6.961E+00 
6.000E+01 6.525E+00 
6.500E+01 6.149E+00 
7.000E+01 5.822E+00 
7.500E+01 5.535E+00 
8.000E+01 5.280E+00 
8.500E+01 5.053E+00 
9.000E+01 4.849E+00 
9.500E+01 4.665E+00 
1.000E+02 4.497E+00 
1.250E+02 3.848E+00 
1.500E+02 3.402E+00 
1.750E+02 3.077E+00 
2.000E+02 2.829E+00 
2.250E+02 2.634E+00 
2.500E+02 2.477E+00 
2.750E+02 2.347E+00 
3.000E+02 2.239E+00 
3.500E+02 2.068E+00 
4.000E+02 1.941E+00 
4.500E+02 1.842E+00 
5.000E+02 1.764E+00 
5.500E+02 1.701E+00 
6.000E+02 1.650E+00 
6.500E+02 1.607E+00 
7.000E+02 1.571E+00 
7.500E+02 1.541E+00 
8.000E+02 1.515E+00 
8.500E+02 1.493E+00 
9.000E+02 1.474E+00 
9.500E+02 1.458E+00 
1.000E+03 1.444E+00 
1.500E+03 1.372E+00 
2.000E+03 1.357E+00 
2.500E+03 1.362E+00 
3.000E+03 1.375E+00 
4.000E+03 1.407E+00 
5.000E+03 1.441E+00 
6.000E+03 1.473E+00 
7.000E+03 1.502E+00 
8.000E+03 1.530E+00 
9.000E+03 1.554E+00 
1.000E+04 1.577E+00 
