#PSTAR: Stopping Powers and Range Tables for Protons

NITROGEN                                                                

Kinetic   Electron. 
Energy    Stp. Pow. 
MeV       MeV cm*cm/g 
#
1.000E-03 1.265E+02 
1.500E-03 1.550E+02 
2.000E-03 1.790E+02 
2.500E-03 2.001E+02 
3.000E-03 2.192E+02 
4.000E-03 2.531E+02 
5.000E-03 2.830E+02 
6.000E-03 3.100E+02 
7.000E-03 3.348E+02 
8.000E-03 3.579E+02 
9.000E-03 3.796E+02 
1.000E-02 4.002E+02 
1.250E-02 4.406E+02 
1.500E-02 4.758E+02 
1.750E-02 5.070E+02 
2.000E-02 5.350E+02 
2.250E-02 5.602E+02 
2.500E-02 5.831E+02 
2.750E-02 6.038E+02 
3.000E-02 6.227E+02 
3.500E-02 6.555E+02 
4.000E-02 6.827E+02 
4.500E-02 7.049E+02 
5.000E-02 7.229E+02 
5.500E-02 7.373E+02 
6.000E-02 7.484E+02 
6.500E-02 7.566E+02 
7.000E-02 7.623E+02 
7.500E-02 7.659E+02 
8.000E-02 7.675E+02 
8.500E-02 7.675E+02 
9.000E-02 7.660E+02 
9.500E-02 7.633E+02 
1.000E-01 7.594E+02 
1.250E-01 7.293E+02 
1.500E-01 6.898E+02 
1.750E-01 6.486E+02 
2.000E-01 6.091E+02 
2.250E-01 5.729E+02 
2.500E-01 5.404E+02 
2.750E-01 5.116E+02 
3.000E-01 4.862E+02 
3.500E-01 4.434E+02 
4.000E-01 4.088E+02 
4.500E-01 3.801E+02 
5.000E-01 3.560E+02 
5.500E-01 3.354E+02 
6.000E-01 3.172E+02 
6.500E-01 3.012E+02 
7.000E-01 2.868E+02 
7.500E-01 2.741E+02 
8.000E-01 2.626E+02 
8.500E-01 2.522E+02 
9.000E-01 2.427E+02 
9.500E-01 2.340E+02 
1.000E+00 2.259E+02 
1.250E+00 1.938E+02 
1.500E+00 1.705E+02 
1.750E+00 1.528E+02 
2.000E+00 1.388E+02 
2.250E+00 1.274E+02 
2.500E+00 1.179E+02 
2.750E+00 1.099E+02 
3.000E+00 1.030E+02 
3.500E+00 9.170E+01 
4.000E+00 8.287E+01 
4.500E+00 7.573E+01 
5.000E+00 6.981E+01 
5.500E+00 6.483E+01 
6.000E+00 6.057E+01 
6.500E+00 5.689E+01 
7.000E+00 5.367E+01 
7.500E+00 5.082E+01 
8.000E+00 4.829E+01 
8.500E+00 4.602E+01 
9.000E+00 4.397E+01 
9.500E+00 4.212E+01 
1.000E+01 4.043E+01 
1.250E+01 3.380E+01 
1.500E+01 2.918E+01 
1.750E+01 2.576E+01 
2.000E+01 2.312E+01 
2.500E+01 1.930E+01 
2.750E+01 1.787E+01 
3.000E+01 1.666E+01 
3.500E+01 1.471E+01 
4.000E+01 1.322E+01 
4.500E+01 1.203E+01 
5.000E+01 1.106E+01 
5.500E+01 1.026E+01 
6.000E+01 9.584E+00 
6.500E+01 9.003E+00 
7.000E+01 8.500E+00 
7.500E+01 8.060E+00 
8.000E+01 7.672E+00 
8.500E+01 7.326E+00 
9.000E+01 7.017E+00 
9.500E+01 6.738E+00 
1.000E+02 6.485E+00 
1.250E+02 5.511E+00 
1.500E+02 4.847E+00 
1.750E+02 4.365E+00 
2.000E+02 4.000E+00 
2.250E+02 3.714E+00 
2.500E+02 3.484E+00 
2.750E+02 3.294E+00 
3.000E+02 3.136E+00 
3.500E+02 2.888E+00 
4.000E+02 2.702E+00 
4.500E+02 2.559E+00 
5.000E+02 2.445E+00 
5.500E+02 2.354E+00 
6.000E+02 2.279E+00 
6.500E+02 2.216E+00 
7.000E+02 2.163E+00 
7.500E+02 2.119E+00 
8.000E+02 2.081E+00 
8.500E+02 2.048E+00 
9.000E+02 2.020E+00 
9.500E+02 1.995E+00 
1.000E+03 1.974E+00 
1.500E+03 1.860E+00 
2.000E+03 1.829E+00 
2.500E+03 1.828E+00 
3.000E+03 1.838E+00 
4.000E+03 1.870E+00 
5.000E+03 1.907E+00 
6.000E+03 1.943E+00 
7.000E+03 1.976E+00 
8.000E+03 2.007E+00 
9.000E+03 2.035E+00 
1.000E+04 2.062E+00 
