#PSTAR: Stopping Powers and Range Tables for Protons

GOLD                                                                    

Kinetic   Electron. 
Energy    Stp. Pow. 
MeV       MeV cm*cm/g 
#
1.000E-03 1.476E+01 
1.500E-03 1.807E+01 
2.000E-03 2.087E+01 
2.500E-03 2.333E+01 
3.000E-03 2.556E+01 
4.000E-03 2.951E+01 
5.000E-03 3.300E+01 
6.000E-03 3.615E+01 
7.000E-03 3.904E+01 
8.000E-03 4.174E+01 
9.000E-03 4.427E+01 
1.000E-02 4.666E+01 
1.250E-02 5.151E+01 
1.500E-02 5.580E+01 
1.750E-02 5.966E+01 
2.000E-02 6.318E+01 
2.250E-02 6.643E+01 
2.500E-02 6.943E+01 
2.750E-02 7.223E+01 
3.000E-02 7.484E+01 
3.500E-02 7.958E+01 
4.000E-02 8.377E+01 
4.500E-02 8.750E+01 
5.000E-02 9.081E+01 
5.500E-02 9.377E+01 
6.000E-02 9.640E+01 
6.500E-02 9.874E+01 
7.000E-02 1.008E+02 
7.500E-02 1.026E+02 
8.000E-02 1.043E+02 
8.500E-02 1.057E+02 
9.000E-02 1.069E+02 
9.500E-02 1.080E+02 
1.000E-01 1.089E+02 
1.250E-01 1.115E+02 
1.500E-01 1.120E+02 
1.750E-01 1.112E+02 
2.000E-01 1.096E+02 
2.250E-01 1.076E+02 
2.500E-01 1.054E+02 
2.750E-01 1.032E+02 
3.000E-01 1.010E+02 
3.500E-01 9.633E+01 
4.000E-01 9.180E+01 
4.500E-01 8.770E+01 
5.000E-01 8.405E+01 
5.500E-01 8.083E+01 
6.000E-01 7.800E+01 
6.500E-01 7.547E+01 
7.000E-01 7.318E+01 
7.500E-01 7.111E+01 
8.000E-01 6.921E+01 
8.500E-01 6.746E+01 
9.000E-01 6.583E+01 
9.500E-01 6.432E+01 
1.000E+00 6.291E+01 
1.250E+00 5.698E+01 
1.500E+00 5.239E+01 
1.750E+00 4.868E+01 
2.000E+00 4.558E+01 
2.250E+00 4.295E+01 
2.500E+00 4.067E+01 
2.750E+00 3.868E+01 
3.000E+00 3.692E+01 
3.500E+00 3.392E+01 
4.000E+00 3.146E+01 
4.500E+00 2.940E+01 
5.000E+00 2.765E+01 
5.500E+00 2.612E+01 
6.000E+00 2.479E+01 
6.500E+00 2.360E+01 
7.000E+00 2.255E+01 
7.500E+00 2.160E+01 
8.000E+00 2.074E+01 
8.500E+00 1.996E+01 
9.000E+00 1.924E+01 
9.500E+00 1.859E+01 
1.000E+01 1.798E+01 
1.250E+01 1.553E+01 
1.500E+01 1.374E+01 
1.750E+01 1.237E+01 
2.000E+01 1.129E+01 
2.500E+01 9.661E+00 
2.750E+01 9.035E+00 
3.000E+01 8.496E+00 
3.500E+01 7.615E+00 
4.000E+01 6.924E+00 
4.500E+01 6.365E+00 
5.000E+01 5.904E+00 
5.500E+01 5.516E+00 
6.000E+01 5.185E+00 
6.500E+01 4.899E+00 
7.000E+01 4.649E+00 
7.500E+01 4.429E+00 
8.000E+01 4.233E+00 
8.500E+01 4.058E+00 
9.000E+01 3.900E+00 
9.500E+01 3.757E+00 
1.000E+02 3.627E+00 
1.250E+02 3.120E+00 
1.500E+02 2.769E+00 
1.750E+02 2.512E+00 
2.000E+02 2.315E+00 
2.250E+02 2.160E+00 
2.500E+02 2.034E+00 
2.750E+02 1.930E+00 
3.000E+02 1.843E+00 
3.500E+02 1.706E+00 
4.000E+02 1.603E+00 
4.500E+02 1.524E+00 
5.000E+02 1.461E+00 
5.500E+02 1.410E+00 
6.000E+02 1.368E+00 
6.500E+02 1.334E+00 
7.000E+02 1.305E+00 
7.500E+02 1.280E+00 
8.000E+02 1.259E+00 
8.500E+02 1.241E+00 
9.000E+02 1.226E+00 
9.500E+02 1.213E+00 
1.000E+03 1.201E+00 
1.500E+03 1.143E+00 
2.000E+03 1.131E+00 
2.500E+03 1.134E+00 
3.000E+03 1.143E+00 
4.000E+03 1.167E+00 
5.000E+03 1.191E+00 
6.000E+03 1.215E+00 
7.000E+03 1.236E+00 
8.000E+03 1.255E+00 
9.000E+03 1.272E+00 
1.000E+04 1.288E+00 
